Semaine,Jour,Date,ActivityNb,Activity1,Activity2,Activity3,Activity4,Activity5
13,Vendredi,03/10/2025,1,Formation CDA - Week 11,,,,
13,Samedi,04/10/2025,0,,,,,
13,Dimanche,05/10/2025,0,,,,,
14,Lundi,06/10/2025,1,Formation CDA - Week 12 - TP Symfony,,,,
14,Mardi,07/10/2025,3,Formation CDA - Week 12,CS50 Cybersecurity - Week 2 - Securing Systems (course),HackTheBox Academy - Introduction to Information Security,,
14,Mercredi,08/10/2025,3,Formation CDA - Week 12,HackTheBox Academy - Network Foundations,React Expo - Should I Buy It? App,,
14,Jeudi,09/10/2025,1,Formation CDA - Week 12,,,,
14,Vendredi,10/10/2025,3,Formation CDA - Week 12,HackTheBox Academy - Network Foundations,React Expo - Should I Buy It? App,,
14,Samedi,11/10/2025,1,Working on a website,,,,
14,Dimanche,12/10/2025,0,,,,,
15,Lundi,13/10/2025,1,Formation CDA - Week 13,,,,
15,Mardi,14/10/2025,2,Garonn'Hack (seminars and CTF),CS50x - Week 4 - Memory (course),,,
15,Mercredi,15/10/2025,2,Formation CDA - Week 13,CS50 Cybersecurity - Week 2 - Securing Systems (assignment),,,
15,Jeudi,16/10/2025,1,Formation CDA - Week 13,,,,
15,Vendredi,17/10/2025,2,Formation CDA - Week 13 - Portfolio,React Expo - Should I Buy It? App,,,
15,Samedi,18/10/2025,1,HackTheBox Academy - Network Foundations,,,,
15,Dimanche,19/10/2025,0,,,,,
16,Lundi,20/10/2025,1,Formation CDA - Week 14 - Portfolio,,,,
16,Mardi,21/10/2025,1,Formation CDA - Week 14 - Portfolio,,,,
16,Mercredi,22/10/2025,1,Formation CDA - Week 14 - TP Angular,,,,
16,Jeudi,23/10/2025,2,Formation CDA - Week 14 - TP Angular,CompTia Security+ - 1 : Threats, Attacks and Vulnerabilities (course),,,
16,Vendredi,24/10/2025,2,Formation CDA - Week 14,CompTia Security+ - 1 : Threats, Attacks and Vulnerabilities (course),,,
16,Samedi,25/10/2025,1,CompTia Security+ - 1 : Threats, Attacks and Vulnerabilities (course),,,,
16,Dimanche,26/10/2025,0,,,,,
17,Lundi,27/10/2025,2,Formation CDA - Week 15,ISC2 CC : Domain 1,,,
17,Mardi,28/10/2025,2,Formation CDA - Week 15,Portfolio,,,
17,Mercredi,29/10/2025,,Formation CDA - Week 15,,,,
17,Jeudi,30/10/2025,,Formation CDA - Week 15,,,,
17,Vendredi,31/10/2025,,Formation CDA - Week 15,,,,
17,Samedi,01/11/2025,,,,,,
17,Dimanche,02/11/2025,,,,,,
18,Lundi,03/11/2025,,Formation CDA - Week 16,,,,
18,Mardi,04/11/2025,,Formation CDA - Week 16,,,,
18,Mercredi,05/11/2025,,Formation CDA - Week 16,,,,
18,Jeudi,06/11/2025,,Formation CDA - Week 16,,,,
18,Vendredi,07/11/2025,,Formation CDA - Week 16,,,,
18,Samedi,08/11/2025,,,,,,
18,Dimanche,09/11/2025,,,,,,
19,Lundi,10/11/2025,,Formation CDA - Week 17,,,,
19,Mardi,11/11/2025,,,,,,
19,Mercredi,12/11/2025,,Formation CDA - Week 17,,,,
19,Jeudi,13/11/2025,,Formation CDA - Week 17,,,,
19,Vendredi,14/11/2025,,Formation CDA - Week 17,,,,
19,Samedi,15/11/2025,,,,,,
19,Dimanche,16/11/2025,,,,,,
20,Lundi,17/11/2025,,Formation CDA - Week 18,,,,
20,Mardi,18/11/2025,,Formation CDA - Week 18,,,,
20,Mercredi,19/11/2025,,Formation CDA - Week 18,,,,
20,Jeudi,20/11/2025,,Formation CDA - Week 18,,,,
20,Vendredi,21/11/2025,,Formation CDA - Week 18,,,,
20,Samedi,22/11/2025,,,,,,
20,Dimanche,23/11/2025,,,,,,
21,Lundi,24/11/2025,,,,,,
21,Mardi,25/11/2025,,,,,,
21,Mercredi,26/11/2025,,,,,,
21,Jeudi,27/11/2025,,,,,,
21,Vendredi,28/11/2025,,,,,,
21,Samedi,29/11/2025,,,,,,
21,Dimanche,30/11/2025,,,,,,
22,Lundi,01/12/2025,,,,,,
22,Mardi,02/12/2025,,,,,,
22,Mercredi,03/12/2025,,,,,,
22,Jeudi,04/12/2025,,,,,,
22,Vendredi,05/12/2025,,,,,,
22,Samedi,06/12/2025,,,,,,
22,Dimanche,07/12/2025,,,,,,
23,Lundi,08/12/2025,,,,,,
23,Mardi,09/12/2025,,,,,,
23,Mercredi,10/12/2025,,,,,,
23,Jeudi,11/12/2025,,,,,,
23,Vendredi,12/12/2025,,,,,,
23,Samedi,13/12/2025,,,,,,
23,Dimanche,14/12/2025,,,,,,
